Name,PTS,REB,AST,STL,BLK,FG%,MVP Voting Point Share,Win/Loss Difference,Position,Year,ZSum,REBAST
Joel Embiid,27.5,13.6,3.7,0.7,1.9,48.4,0.049,20,7,2019,0.5869920592,17.3
Kevin Love,26,13.3,2,0.9,0.5,44.8,0.048,-14,6,2012,-3.0267957,15.3
Luka Doncic,27.7,8,8.6,1,0.4,47.9,0.042,12,6,2021,-0.8481985948,16.6
Draymond Green,14,9.5,7.4,1.5,1.4,49,0.038,64,7,2016,3.263235185,16.9
Damian Lillard,28.8,4.2,7.5,0.9,0.3,45.1,0.038,12,7,2021,-3.089820276,11.7
Chris Paul,19.1,4.3,10.7,2.5,0.1,46.7,0.036,22,7,2014,0.3197706089,15
Demar DeRozan,23,3.9,5.2,1.1,0.3,45.6,0.032,12,8,2018,-6.131662611,9.1
James Harden,25.9,4.9,5.8,1.8,0.5,43.8,0.027,8,8,2013,-2.573367648,10.7
Al Jefferson,21.8,10.8,2.1,0.9,1.1,50.9,0.027,4,8,2014,-2.08919302,12.9
Paul George,21.7,6.8,3.5,1.9,0.3,42.4,0.026,30,9,2014,-1.961084089,10.3
Chris Paul,17.6,5,6.7,1.6,0.2,48.9,0.026,16,7,2020,-3.19329004,11.7
Kevin Durant,26,6.4,5.9,0.7,1.1,52.1,0.025,32,8,2019,-0.2146407992,12.3
Damian Lillard ,30,4.3,8,1.1,0.3,46.3,0.023,-4,8,2020,-4.03203986,12.3
LaMarcus Aldridge,23.2,11.1,2.6,0.9,1,45.8,0.021,26,10,2014,-0.6009557753,13.7
Damian Lillard,25.1,4,6.8,0.9,0.4,41,0.02,6,8,2016,-6.16507815,10.8
Julius Randle,24.1,10.2,6,0.9,0.3,45.6,0.02,10,8,2021,-2.655232801,16.2
Nikola Jokic,19.9,9.7,7,1.2,0.6,52.8,0.018,19,9,2020,-0.05908816644,16.7
Pascal Siakam,22.9,7.3,3.5,1,0.9,45.3,0.017,34,10,2020,-3.069797747,10.8
Kawhi Leonard,26.6,7.3,3.3,1.8,0.4,49.6,0.013,34,9,2019,-0.4572951621,10.6
Dwight Howard,20.6,14.5,1.9,1.5,2.1,57.3,0.011,8,7,2012,3.507560092,16.4
Rajon Rondo,11.9,4.8,11.7,1.8,0.1,44.8,0.01,12,8,2012,-1.842002132,16.5
Rudy Gobert,14.3,13.5,1.3,0.6,2.7,67.5,0.01,32,9,2021,1.919738695,14.8
Russell Westbrook,22.9,11.1,10.7,1.9,0.5,42.8,0.008,16,10,2019,-0.2230801658,21.8
Russell Westbrook,22.2,11.5,11.7,1.4,0.4,43.9,0.008,-4,10,2021,-0.1208295214,23.2
